symbol,bids,asks,timestamp,Mid_Price,Quoted_Spread,First_Layer_Liquidity
ETHBTC,"[['0.06235000', '4.05520000'], ['0.06157000', '24.33570000'], ['0.06152000', '26.38060000'], ['0.06148000', '2.21190000']]","[['0.06297000', '5.29800000']]",1693386362299,0.06266,0.0006199999999999956,9.353200000000001
ETHBTC,"[['0.06253000', '18.42540000'], ['0.06252000', '51.25400000'], ['0.06157000', '24.33400000']]","[['0.06266000', '33.41310000']]",1693386363299,0.062595,0.00012999999999999123,51.838499999999996
ETHBTC,"[['0.06257000', '21.39860000'], ['0.06256000', '42.64820000'], ['0.06253000', '19.19460000'], ['0.06251000', '46.54980000'], ['0.06157000', '24.33400000']]","[['0.06261000', '19.48250000'], ['0.06262000', '24.55220000']]",1693386364299,0.06259,3.999999999999837e-05,40.8811
ETHBTC,"[['0.06253000', '47.99160000'], ['0.06252000', '22.50420000']]",[],1693386365299,,,
ETHBTC,"[['0.06253000', '19.19460000']]",[],1693386367299,,,
ETHBTC,"[['0.06253000', '48.04530000'], ['0.06250000', '86.71600000'], ['0.06249000', '10.74400000'], ['0.06157000', '24.33570000']]","[['0.06348000', '22.27190000'], ['0.06349000', '19.47090000'], ['0.06448000', '4.55510000']]",1693386368299,0.063005,0.0009499999999999925,70.3172
ETHBTC,"[['0.06157000', '24.33400000'], ['0.05631000', '0.87330000']]",[],1693386369299,,,
ETHBTC,"[['0.06257000', '18.07800000'], ['0.06256000', '38.12650000'], ['0.06255000', '45.05100000'], ['0.06254000', '46.53600000'], ['0.06253000', '19.77660000'], ['0.06248000', '22.57900000'], ['0.06243000', '3.64580000'], ['0.06238000', '8.53800000']]","[['0.06259000', '53.51610000'], ['0.06260000', '58.30320000'], ['0.06270000', '98.02120000']]",1693386370299,0.06258,2.0000000000006124e-05,71.5941
ETHBTC,"[['0.06256000', '41.12960000'], ['0.06253000', '48.49170000'], ['0.06201000', '45.96220000']]",[],1693386371299,,,
ETHBTC,"[['0.06203000', '12.60620000']]",[],1693386372299,,,
ETHBTC,"[['0.06255000', '44.05100000'], ['0.06254000', '47.53600000'], ['0.06235000', '4.05520000']]","[['0.06258000', '80.64570000'], ['0.06297000', '5.29800000']]",1693386373299,0.062565,3.0000000000002247e-05,124.6967
ETHBTC,"[['0.06256000', '38.15270000'], ['0.06255000', '44.03230000'], ['0.06254000', '46.93760000'], ['0.06253000', '53.36520000'], ['0.06243000', '56.74380000']]","[['0.06260000', '60.60320000'], ['0.06261000', '17.18250000'], ['0.06270000', '134.92320000']]",1693386374299,0.06258,3.999999999999837e-05,98.7559
ETHBTC,[],"[['0.06258000', '80.64570000'], ['0.06314000', '2.43220000']]",1693386375299,,,
ETHBTC,[],"[['0.06258000', '115.06380000'], ['0.06293000', '2.40870000']]",1693386377299,,,
ETHBTC,[],"[['0.06280000', '5.77500000']]",1693386378300,,,
ETHBTC,"[['0.06157000', '24.33400000'], ['0.06112000', '2.69870000']]",[],1693386381300,,,
ETHBTC,"[['0.06243000', '3.64580000']]","[['0.06270000', '98.02120000']]",1693386382300,0.06256500000000001,0.00027000000000000635,101.66699999999999
ETHBTC,"[['0.06254000', '46.74220000'], ['0.06252000', '22.33860000'], ['0.06250000', '86.54690000'], ['0.06247000', '133.25410000'], ['0.06235000', '4.05520000'], ['0.06157000', '24.33570000']]","[['0.06259000', '53.34070000'], ['0.06261000', '17.01120000'], ['0.06297000', '5.29800000']]",1693386383300,0.06256500000000001,5.000000000000837e-05,100.0829
ETHBTC,"[['0.06157000', '24.33400000'], ['0.06112000', '2.73800000'], ['0.05631000', '0.87330000']]",[],1693386384300,,,
ETHBTC,"[['0.06243000', '56.74380000']]","[['0.06270000', '134.92320000']]",1693386385300,0.06256500000000001,0.00027000000000000635,191.667
